Keyword	RepoPath	FilePath	RepoName	CommitID	JavaCount	XmlCount
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jetty-springmvc-jsp-template	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jetty-springmvc-jsp-template\src\main\java\config\MvcConfiguration.java	jetty-springmvc-jsp-template	cdb24eeea8d6e1db6d2244cd2149180d4f960ba3	6	7
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jetty-springmvc-jsp-template	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jetty-springmvc-jsp-template\src\main\java\ca\unx\template\Main.java	jetty-springmvc-jsp-template	cdb24eeea8d6e1db6d2244cd2149180d4f960ba3	6	7
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National\ghana-national-xforms\src\main\java\org\motechproject\ghana\national\logger\configuration\BackgroundJobLoggerConfiguration.java	GHANA-National	d2fdbcf59ac3220c7110e61065b3ae3987c1fbbf	624	213
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National\ghana-national-core\src\test\java\org\motechproject\ghana\national\BaseIntegrationTest.java	GHANA-National	d2fdbcf59ac3220c7110e61065b3ae3987c1fbbf	624	213
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National\ghana-national-messaging-gateway\src\main\java\org\motechproject\ghana\national\messagegateway\domain\MessageGroupStoreRepearJob.java	GHANA-National	d2fdbcf59ac3220c7110e61065b3ae3987c1fbbf	624	213
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National\ghana-national-core\src\main\resources\applicationContext-core.xml	GHANA-National	d2fdbcf59ac3220c7110e61065b3ae3987c1fbbf	624	213
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National\ghana-national-core\src\main\resources\applicationContext-core.xml	GHANA-National	d2fdbcf59ac3220c7110e61065b3ae3987c1fbbf	624	213
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\GHANA-National\ghana-national-tools\src\main\java\org\motechproject\ghana\national\tools\RecreateDB.java	GHANA-National	d2fdbcf59ac3220c7110e61065b3ae3987c1fbbf	624	213
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\github-cla-integration	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\github-cla-integration\src\main\java\com\gopivotal\cla\security\SecurityConfiguration.java	github-cla-integration	c4dd33760a85e6e82dc83767341bd866020ab053	82	7
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\github-cla-integration	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\github-cla-integration\src\main\java\com\gopivotal\cla\github\StandardGitHubClient.java	github-cla-integration	c4dd33760a85e6e82dc83767341bd866020ab053	82	7
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jobsnearyou	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jobsnearyou\src\main\java\com\jobsnearyou\config\SecurityConfig.java	jobsnearyou	3a798a9ffaf7417f5463b1a31a2666915494e2b9	36	12
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\dfr	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\dfr\dfr-sync\src\main\java\org\duraspace\dfr\sync\config\AppConfig.java	dfr	20ab6927362074a922a27ad0f3f713ed414b2d68	107	30
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\e4ds-template	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\e4ds-template\src\main\java\ch\rasc\e4ds\config\SecurityConfig.java	e4ds-template	815699e44e299ad75ba5153576890081492be481	40	9
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\WeVan	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\WeVan\src\main\java\com\cspinformatique\wevan\config\SecurityConfig.java	WeVan	0021de92b8ff9bbe8e3f84b98ce9eb1ad169d106	52	9
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ai-project-server	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ai-project-server\src\main\java\ai\server\config\MvcConfiguration.java	ai-project-server	21d8877f7b356887f7a4038c8fbbc137c61be4c6	44	21
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\SpringProjTemplate	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\SpringProjTemplate\src\SpringTemplate\src\main\java\com\pne\arch\config\SecurityConfig.java	SpringProjTemplate	e628226d8174ea3dd78a367bfe9ede1488a78b5e	22	8
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jrecruiter	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jrecruiter\src\main\java\org\jrecruiter\spring\MainContextConfiguration.java	jrecruiter	6c7113f23dcd4da3af3a36d10e7ec267ebb6e3b7	178	29
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ju	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ju\ju-dbutil-test\src\test\java\ch\inftec\ju\db\auth\AbstractAuthBaseDbTest.java	ju	1b8dc8f99d317bebfb255bede7b5c8c4c26b57b5	207	48
@ImportResource	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\CodeFish-Blog	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\CodeFish-Blog\src\main\java\org\codefish\spring\configuration\RootConfig.java	CodeFish-Blog	47b89c59d5ac8fa71e92a0f29210df1884c129fb	10	9
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\main\java\ch\ralscha\extdirectspring\bean\ExtDirectResponseBuilder.java	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\main\java\ch\ralscha\extdirectspring\bean\ExtDirectResponseBuilder.java	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\test\resources\testExceptionHandlingConfig.xml	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\test\resources\testExceptionHandlingConfig.xml	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\test\java\ch\ralscha\extdirectspring\util\MethodInfoCacheTest.java	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\gallery-georg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\gallery-georg\src\main\java\org\georg\web\config\MvcWebApplicationInitializer.java	gallery-georg	30966022d462ad22497f7acc97ae669f48188343	72	2
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\java\org\hibernate\search\hibernate\example\SearchManager.java	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\java\org\hibernate\search\hibernate\example\SearchManager.java	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\resources\applicationContext.xml	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\resources\applicationContext.xml	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\resources\applicationContext.xml	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\java\org\hibernate\search\hibernate\example\SearchManager.java	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\java\com\jiazu\web\base\proxy\BasePX.java	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\java\com\jiazu\web\platform\proxy\CommentPX.java	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\resources\conf\AppDict.xml	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\resources\conf\AppDict.xml	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\resources\conf\dataSource.xml	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\service\AbstractClinicServiceTests.java	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\main\resources\spring\business-config.xml	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\main\resources\spring\business-config.xml	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\main\resources\spring\datasource-config.xml	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ironman	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ironman\src\test\java\com\ironman\controller\HealthMonitorControllerTest.java	ironman	1f837f4d2be0586b9ab900f93a62c39921212d3e	8	6
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb\src\main\java\com\vetstreet\embedded\jirb\SshServerFactory.java	java-embedded-jirb	8a9f80165ac21670364db5931c6c32368c28ae76	11	1
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb\src\main\java\com\vetstreet\embedded\jirb\SshServerFactory.java	java-embedded-jirb	8a9f80165ac21670364db5931c6c32368c28ae76	11	1
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\addis-core	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\addis-core\src\main\java\org\drugis\addis\config\SecurityConfig.java	addis-core	706d636eff27fa30c4d5b45a3df30d545a936712	511	8
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse\plugins\appfuse-maven-plugin\src\main\java\org\appfuse\tool\ArtifactInstaller.java	appfuse	2825ab8f3a978b3bafb60effbf7c1094beef3fac	328	250
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse\data\jpa\src\main\java\org\appfuse\dao\BaseDaoTestCase.java	appfuse	2825ab8f3a978b3bafb60effbf7c1094beef3fac	328	250
